year,age,sex,enrolment_primary
2003,UNDER 7 YRS,F,23132
2004,10 YRS,MF,49983
2004,10 YRS,F,24213
2004,11 YRS,MF,49585
2004,11 YRS,F,24064
2004,12 YRS,MF,2356
2004,12 YRS,F,958
2004,13 YRS,MF,1275
2004,13 YRS,F,547
2004,14 YRS & OVER,MF,458
2004,14 YRS & OVER,F,203
2004,7 YRS,MF,48327
2004,7 YRS,F,23243
2004,8 YRS,MF,48494
2004,8 YRS,F,23290
2004,9 YRS,MF,49574
2004,9 YRS,F,24045
2004,UNDER 7 YRS,MF,46367
2004,UNDER 7 YRS,F,22373
2005,10 YRS,MF,49753
2005,10 YRS,F,24129
2005,11 YRS,MF,50044
2005,11 YRS,F,24242
2005,12 YRS,MF,2450
2005,12 YRS,F,1059
2005,13 YRS,MF,1124
2005,13 YRS,F,450
2005,14 YRS & OVER,MF,433
2005,14 YRS & OVER,F,194
2005,7 YRS,MF,46837
2005,7 YRS,F,22569
2005,8 YRS,MF,48471
2005,8 YRS,F,23321
2005,9 YRS,MF,48618
2005,9 YRS,F,23369
2005,UNDER 7 YRS,MF,42531
2005,UNDER 7 YRS,F,20594
2006,10 YRS,MF,48902
2006,10 YRS,F,23492
2006,11 YRS,MF,49939
2006,11 YRS,F,24237
2006,12 YRS,MF,2395
2006,12 YRS,F,1034
2006,13 YRS,MF,1229
2006,13 YRS,F,527
2006,14 YRS & OVER,MF,447
2006,14 YRS & OVER,F,171
2006,7 YRS,MF,43124
2006,7 YRS,F,20826
2006,8 YRS,MF,47132
2006,8 YRS,F,22725
2006,9 YRS,MF,48703
2006,9 YRS,F,23458
2006,UNDER 7 YRS,MF,42729
2006,UNDER 7 YRS,F,20492
2007,10 YRS,MF,49257
2007,10 YRS,F,23718
2007,11 YRS,MF,49276
2007,11 YRS,F,23662
2007,12 YRS,MF,2966
2007,12 YRS,F,1389
2007,13 YRS,MF,1058
2007,13 YRS,F,449
2007,14 YRS & OVER,MF,482
2007,14 YRS & OVER,F,188
2007,7 YRS,MF,43690
2007,7 YRS,F,20925
2007,8 YRS,MF,43762
2007,8 YRS,F,21125
2007,9 YRS,MF,47720
2007,9 YRS,F,23016
2007,UNDER 7 YRS,MF,46837
2007,UNDER 7 YRS,F,22537
2008,10 YRS,MF,48006
2008,10 YRS,F,23159
2008,11 YRS,MF,49360
2008,11 YRS,F,23775
2008,12 YRS,MF,2854
2008,12 YRS,F,1290
2008,13 YRS,MF,1248
2008,13 YRS,F,599
2008,14 YRS & OVER,MF,422
2008,14 YRS & OVER,F,171
2008,7 YRS,MF,47538
2008,7 YRS,F,22814
2008,8 YRS,MF,44138
2008,8 YRS,F,21113
2008,9 YRS,MF,44158
2008,9 YRS,F,21345
2008,UNDER 7 YRS,MF,41548
2008,UNDER 7 YRS,F,20140
2009,10 YRS,MF,44189
2009,10 YRS,F,21390
2009,11 YRS,MF,47917
2009,11 YRS,F,23121
2009,12 YRS,MF,3138
2009,12 YRS,F,1457
2009,13 YRS,MF,1041
2009,13 YRS,F,486
2009,14 YRS & OVER,MF,425
